SD,PQA,RTA,NB,OB,CTR,CTS,TR,TS,STC,STD,SN,SC,SA,SO,RCR,RDR,NRNI,NRAR,ATT,NSRA,ABHR,N95RS,FMS,EPS,GS,GLS
Y,Y,31,159,140,Y,Y,3,314,121,0,N,N,N,N,800,107.14,1,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,18,120,60,Y,Y,1,41,28,0,Y,N,Y,Y,833.33,150,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,29,110,80,Y,Y,0,86,29,0,N,N,N,N,812.5,112.5,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,32,79,59,Y,Y,0,45,44,1,Y,N,Y,Y,661.02,152.54,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,75,56,Y,Y,0,0,69,0,N,N,N,N,517.86,53.57,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,62,147,122,Y,Y,NA,NA,97,0,N,N,N,N,901.64,213.11,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,123,90,Y,Y,0,99,53,0,N,N,N,N,666.67,111.11,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,27,124,84,Y,Y,0,95,40,0,N,N,N,N,654.76,119.05,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,10,166,136,Y,Y,0,34,99,0,N,N,N,N,977.94,220.59,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,143,127,Y,Y,0,28,143,0,N,N,N,N,1291.34,393.7,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,17,75,57,Y,Y,0,9,32,1,N,N,N,N,807.02,105.26,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,18,72,35,Y,Y,35,40,20,0,Y,N,Y,N,1000,342.86,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,74,62,Y,Y,1,52,36,0,N,N,N,N,1032.26,129.03,0,0,NOTEST,0,Y,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,88,168,117,N,N,0,140,72,1,N,N,N,N,974.36,188.03,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,91,82,Y,Y,52,76,38,0,N,N,N,N,804.88,24.39,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,172,123,Y,Y,0,0,83,0,N,N,N,N,585.37,105.69,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,141,111,Y,Y,2,99,67,0,N,N,N,N,1018.02,117.12,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,190,165,Y,Y,NA,NA,100,2,N,N,N,N,654.55,42.42,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,68,53,Y,Y,NA,NA,51,0,N,N,N,N,905.66,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,91,67,N,N,2,18,34,0,N,N,N,N,835.82,29.85,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,44,94,69,Y,Y,0,17,62,0,Y,N,Y,N,1246.38,347.83,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,68,63,Y,Y,4,28,12,0,N,N,N,N,158.73,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
